,newspaper,year,week,word,stat,metric,value,year_week,hot_topics
22855,elcomercio_peru,2022,49,castillo,max,quote_count,101.0,2022w49,castillo
22856,elcomercio_peru,2022,49,castillo,mean,quote_count,5.576923076923077,2022w49,castillo
22857,elcomercio_peru,2022,49,castillo,min,quote_count,0.0,2022w49,castillo
22858,elcomercio_peru,2022,49,castillo,ratio,quote_count,5.576923076923077,2022w49,castillo
22859,elcomercio_peru,2022,49,castillo,std,quote_count,16.62191578803584,2022w49,castillo
22860,elcomercio_peru,2022,49,castillo,sum,quote_count,290.0,2022w49,castillo
22861,elcomercio_peru,2022,49,china,count,quote_count,12.0,2022w49,
22862,elcomercio_peru,2022,49,china,max,quote_count,1.0,2022w49,
22863,elcomercio_peru,2022,49,china,mean,quote_count,0.08333333333333333,2022w49,
22864,elcomercio_peru,2022,49,china,min,quote_count,0.0,2022w49,
22865,elcomercio_peru,2022,49,china,ratio,quote_count,0.08333333333333333,2022w49,
22866,elcomercio_peru,2022,49,china,std,quote_count,0.28867513459481287,2022w49,
22867,elcomercio_peru,2022,49,china,sum,quote_count,1.0,2022w49,
22868,elcomercio_peru,2022,49,colombia,count,quote_count,10.0,2022w49,
22869,elcomercio_peru,2022,49,colombia,max,quote_count,1.0,2022w49,
22870,elcomercio_peru,2022,49,colombia,mean,quote_count,0.2,2022w49,
22871,elcomercio_peru,2022,49,colombia,min,quote_count,0.0,2022w49,
22872,elcomercio_peru,2022,49,colombia,ratio,quote_count,0.2,2022w49,
22873,elcomercio_peru,2022,49,colombia,std,quote_count,0.4216370213557839,2022w49,
22874,elcomercio_peru,2022,49,colombia,sum,quote_count,2.0,2022w49,
22875,elcomercio_peru,2022,49,congreso,count,quote_count,20.0,2022w49,congreso
22876,elcomercio_peru,2022,49,congreso,max,quote_count,101.0,2022w49,congreso
22877,elcomercio_peru,2022,49,congreso,mean,quote_count,8.55,2022w49,congreso
22878,elcomercio_peru,2022,49,congreso,min,quote_count,0.0,2022w49,congreso
22879,elcomercio_peru,2022,49,congreso,ratio,quote_count,8.55,2022w49,congreso
22880,elcomercio_peru,2022,49,congreso,std,quote_count,23.714252876143583,2022w49,congreso
22881,elcomercio_peru,2022,49,congreso,sum,quote_count,171.0,2022w49,congreso
22882,elcomercio_peru,2022,49,conoce,count,quote_count,10.0,2022w49,
22883,elcomercio_peru,2022,49,conoce,max,quote_count,0.0,2022w49,
22884,elcomercio_peru,2022,49,conoce,mean,quote_count,0.0,2022w49,
22885,elcomercio_peru,2022,49,conoce,min,quote_count,0.0,2022w49,
22886,elcomercio_peru,2022,49,conoce,ratio,quote_count,0.0,2022w49,
22887,elcomercio_peru,2022,49,conoce,std,quote_count,0.0,2022w49,
22888,elcomercio_peru,2022,49,conoce,sum,quote_count,0.0,2022w49,
22889,elcomercio_peru,2022,49,corrupción,count,quote_count,10.0,2022w49,
22890,elcomercio_peru,2022,49,corrupción,max,quote_count,5.0,2022w49,
22891,elcomercio_peru,2022,49,corrupción,mean,quote_count,1.1,2022w49,
22892,elcomercio_peru,2022,49,corrupción,min,quote_count,0.0,2022w49,
22893,elcomercio_peru,2022,49,corrupción,ratio,quote_count,1.1,2022w49,
22894,elcomercio_peru,2022,49,corrupción,std,quote_count,1.66332999331662,2022w49,
22895,elcomercio_peru,2022,49,corrupción,sum,quote_count,11.0,2022w49,
22896,elcomercio_peru,2022,49,covid,count,quote_count,20.0,2022w49,covid
22897,elcomercio_peru,2022,49,covid,max,quote_count,2.0,2022w49,covid
22898,elcomercio_peru,2022,49,covid,mean,quote_count,0.25,2022w49,covid
22899,elcomercio_peru,2022,49,covid,min,quote_count,0.0,2022w49,covid
22900,elcomercio_peru,2022,49,covid,ratio,quote_count,0.25,2022w49,covid
22901,elcomercio_peru,2022,49,covid,std,quote_count,0.5501196042201808,2022w49,covid
22902,elcomercio_peru,2022,49,covid,sum,quote_count,5.0,2022w49,covid
22903,elcomercio_peru,2022,49,cristina,count,quote_count,9.0,2022w49,
22904,elcomercio_peru,2022,49,cristina,max,quote_count,3.0,2022w49,
22905,elcomercio_peru,2022,49,cristina,mean,quote_count,0.6666666666666666,2022w49,
22906,elcomercio_peru,2022,49,cristina,min,quote_count,0.0,2022w49,
22907,elcomercio_peru,2022,49,cristina,ratio,quote_count,0.6666666666666666,2022w49,
22908,elcomercio_peru,2022,49,cristina,std,quote_count,1.1180339887498947,2022w49,
22909,elcomercio_peru,2022,49,cristina,sum,quote_count,6.0,2022w49,
22910,elcomercio_peru,2022,49,diciembre,count,quote_count,39.0,2022w49,
22911,elcomercio_peru,2022,49,diciembre,max,quote_count,4.0,2022w49,
22912,elcomercio_peru,2022,49,diciembre,mean,quote_count,0.1282051282051282,2022w49,
22913,elcomercio_peru,2022,49,diciembre,min,quote_count,0.0,2022w49,
22914,elcomercio_peru,2022,49,diciembre,ratio,quote_count,0.1282051282051282,2022w49,
22915,elcomercio_peru,2022,49,diciembre,std,quote_count,0.6561244738890383,2022w49,
22916,elcomercio_peru,2022,49,diciembre,sum,quote_count,5.0,2022w49,
22917,elcomercio_peru,2022,49,dina,count,quote_count,17.0,2022w49,boluarte
22918,elcomercio_peru,2022,49,dina,max,quote_count,3.0,2022w49,boluarte
22919,elcomercio_peru,2022,49,dina,mean,quote_count,1.0,2022w49,boluarte
22920,elcomercio_peru,2022,49,dina,min,quote_count,0.0,2022w49,boluarte
22921,elcomercio_peru,2022,49,dina,ratio,quote_count,1.0,2022w49,boluarte
22922,elcomercio_peru,2022,49,dina,std,quote_count,1.0606601717798212,2022w49,boluarte
22923,elcomercio_peru,2022,49,dina,sum,quote_count,17.0,2022w49,boluarte
22924,elcomercio_peru,2022,49,dólar,count,quote_count,14.0,2022w49,
22925,elcomercio_peru,2022,49,dólar,max,quote_count,2.0,2022w49,
22926,elcomercio_peru,2022,49,dólar,mean,quote_count,0.21428571428571427,2022w49,
22927,elcomercio_peru,2022,49,dólar,min,quote_count,0.0,2022w49,
22928,elcomercio_peru,2022,49,dólar,ratio,quote_count,0.21428571428571427,2022w49,
22929,elcomercio_peru,2022,49,dólar,std,quote_count,0.5789342235218394,2022w49,
22930,elcomercio_peru,2022,49,dólar,sum,quote_count,3.0,2022w49,
22931,elcomercio_peru,2022,49,eeuu,count,quote_count,14.0,2022w49,
22932,elcomercio_peru,2022,49,eeuu,max,quote_count,2.0,2022w49,
22933,elcomercio_peru,2022,49,eeuu,mean,quote_count,0.35714285714285715,2022w49,
22934,elcomercio_peru,2022,49,eeuu,min,quote_count,0.0,2022w49,
22935,elcomercio_peru,2022,49,eeuu,ratio,quote_count,0.35714285714285715,2022w49,
22936,elcomercio_peru,2022,49,eeuu,std,quote_count,0.633323693776651,2022w49,
22937,elcomercio_peru,2022,49,eeuu,sum,quote_count,5.0,2022w49,
22938,elcomercio_peru,2022,49,gobierno,count,quote_count,25.0,2022w49,
22939,elcomercio_peru,2022,49,gobierno,max,quote_count,101.0,2022w49,
22940,elcomercio_peru,2022,49,gobierno,mean,quote_count,6.0,2022w49,
22941,elcomercio_peru,2022,49,gobierno,min,quote_count,0.0,2022w49,
22942,elcomercio_peru,2022,49,gobierno,ratio,quote_count,6.0,2022w49,
22943,elcomercio_peru,2022,49,gobierno,std,quote_count,21.17781858454737,2022w49,
22944,elcomercio_peru,2022,49,gobierno,sum,quote_count,150.0,2022w49,
22945,elcomercio_peru,2022,49,golpe,count,quote_count,22.0,2022w49,
22946,elcomercio_peru,2022,49,golpe,max,quote_count,101.0,2022w49,
22947,elcomercio_peru,2022,49,golpe,mean,quote_count,7.363636363636363,2022w49,
22948,elcomercio_peru,2022,49,golpe,min,quote_count,0.0,2022w49,
22949,elcomercio_peru,2022,49,golpe,ratio,quote_count,7.363636363636363,2022w49,
22950,elcomercio_peru,2022,49,golpe,std,quote_count,22.468062951973693,2022w49,
22951,elcomercio_peru,2022,49,golpe,sum,quote_count,162.0,2022w49,
22952,elcomercio_peru,2022,49,kirchner,count,quote_count,11.0,2022w49,
22953,elcomercio_peru,2022,49,kirchner,max,quote_count,3.0,2022w49,
